seniority_level,internship,degree_requirements,programming_languages,type_of_ml,libraries_and_tools,cloud_platforms,key_responsibilities,domain
Early Career,False,Not mentioned,['Python'],"['Computer Vision', 'Deep Learning']","['TensorFlow', 'PyTorch', 'pandas', 'NumPy', 'scikit-learn', 'Matplotlib', 'Seaborn']",['Not mentioned'],"['Development and optimization of Computer Vision algorithms and Client models', 'Collaborate with cross-functional teams to integrate AI/Client features into the application', 'Implement and optimize machine learning models for data analysis and insights generation', 'Utilize data analytics packages for efficient data manipulation and processing']",['Software and Cloud']
Early Career,True,"Pursuing M.S or PhD in Computer Science, Mathematics, AI/ML, or related field","['Python', 'SQL']","['Deep Learning', 'Natural Language Processing']","['pandas', 'NumPy', 'PyTorch', 'Docker', 'Kubernetes']",['Not mentioned'],"['Design and implement LLM/VLM-driven autolabeling systems to optimize data annotation workflows', 'Architect and implement scalable training data pipelines for diverse deep learning models', 'Develop version-controlled datasets with efficient storage and retrieval mechanisms', 'Create visualization and analysis tools to monitor model performance and dataset quality']",['Automotive']
Not mentioned,False,Not mentioned,['Not mentioned'],"['Deep Learning', 'Generative AI', 'Predictive Modeling', 'Simulation-Based Learning']",['Not mentioned'],['Not mentioned'],"['Build and expand on tools for visualizing molecules and proteins', 'Analyze machine learning models and manage complex chemical workflows', 'Develop and productionize new computational methods for molecular property prediction', 'Scale data infrastructure to handle billions of datapoints and thousands of parallel deep learning and molecular dynamics jobs']","['Biotechnology', 'Pharmaceuticals']"
Mid-Level,False,Not mentioned,['Python'],"['Natural Language Processing', 'Multimodal Learning', 'Deep Learning']",['PyTorch'],['Not mentioned'],"['Design, develop, and deploy machine learning models', 'Analyze large datasets to uncover insights and trends', 'Continuously monitor and improve the performance of deployed models', 'Stay up to date with the latest advancements in machine learning and AI']",['Real Estate']
Mid-Level,False,Bachelor's degree required in Computer Science/Information technology.,"['SQL', 'Python']","['Predictive Modeling', 'Optimization']","['Spark', 'Hive', 'Azkaban', 'Presto']",['AWS'],"['Designing and implementing robust data pipelines to efficiently process and analyze large volumes of data', 'Developing scalable and maintainable data storage solutions to accommodate the growing needs of the organization', 'Building monitoring and alerting systems to ensure the integrity and availability of data pipelines', 'Optimizing query performance and data processing workflows to reduce latency and improve efficiency']",['E-commerce']
Mid-Level,False,"Bachelor's degree or equivalent experience in a quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)","['Python', 'C++', 'Java', 'SQL']","['Predictive Modeling', 'Supervised Learning', 'Unsupervised Learning']","['Cassandra', 'Hadoop', 'Spark', 'Tableau']",['Not mentioned'],"['Analyze raw data: assessing quality, cleansing, and structuring for downstream processing', 'Design accurate and scalable prediction algorithms', 'Collaborate with the engineering team to bring analytical prototypes to production', 'Generate actionable insights for business improvements']",['Consulting']
Not mentioned,False,"Bachelor’s degree in engineering or related field or the equivalent combination of education, training, or work experience. Degree / Certification in Data science, Statistics, or related fields.","['Python', 'Java', 'C#']","['Deep Learning', 'Natural Language Processing', 'Computer Vision', 'Anomaly Detection', 'Generative AI']","['scikit-learn', 'TensorFlow', 'PyTorch', 'Keras', 'pandas', 'Flask', 'FastAPI', 'SQLAlchemy', 'Pydantic']","['AWS', 'GCP', 'Azure']","['Design and develop AI/ML solutions across the organization.', 'Assist in formulating business problems as machine learning problems.', 'Collaborate effectively with business and tech teams.', 'Communicate ideas clearly and concisely.']","['Finance', 'Software and Cloud']"
Senior,False,"PhD or postgraduate degree in Computer Science, Computer Engineering, or a related field—or equivalent experience",['Python'],"['Generative AI', 'Deep Learning', 'MLOps']","['PyTorch', 'TensorFlow', 'Hugging Face', 'LangChain', 'PEFT', 'LlamaIndex', 'Docker']","['Azure', 'AWS']","['Train and finetune ML models to solve business use cases', 'Architect and optimize end-to-end ML pipelines', 'Engage in architecture, design, deployment, and production operations of ML models and systems', 'Recommend models, evaluation metrics, and governance approaches']","['Software and Cloud', 'Marketing']"
Senior,False,"M.S., or PhD. in Machine Learning, Statistics, Computer Science, Applied Mathematics or other related quantitative fields",['Python'],"['Causal Inference', 'Optimization', 'Predictive Modeling', 'Recommendation Systems', 'Robotics']","['SciKit Learn', 'Lightgbm', 'Spark MLLib', 'PyTorch', 'TensorFlow']",['Not mentioned'],"['Build statistical and ML models to enhance consumer experience', 'Own the modeling life cycle end-to-end including feature creation, model development and prototyping', 'Develop inference and ML models impacting millions of users', 'Work with engineers, analysts, and product managers to iterate on models']","['Logistics', 'E-commerce']"
Early Career,True,Pursuing a bachelor's degree or higher with relevant classwork or internships in Machine Learning,['Python'],"['Natural Language Processing', 'Deep Learning', 'Graph Machine Learning']","['DGL', 'HuggingFace', 'LightGBM', 'NVIDIA NeMo', 'PyTorch', 'SKLearn', 'Transformers', 'XGBoost', 'Jupyter', 'Matplotlib', 'Pandas', 'Weights & Biases', 'Apache Spark', 'DVC', 'LabelBox', 'OpenSearch', 'Postgres/Pgvector', 'Qdrant', 'SQLite', 'Airflow', 'DeepSpeed', 'Docker', 'Grafana', 'Jenkins', 'Kubernetes', 'Ray', 'vLLM', 'WhyLabs']",['AWS'],"['Assist in conducting original work on large proprietary unstructured data and structured datasets, applying advanced NLP techniques to extract insights and build solutions that drive business value.', 'Design, build, and maintain scalable production-ready ML systems', 'Participate in the ML model lifecycle, from problem framing to training, deployment, and monitoring in production', 'Partner with our ML Operations team to deliver solutions for automating the ML model lifecycle, from technical design to implementation']",['Software and Cloud']
Mid-Level,False,"BS/MS degree in Computer Science, Statistics, Operation Research, Applied Mathematics, Physics or similar quantitative fields","['Python', 'C++', 'Go']","['Deep Learning', 'Statistical Modeling', 'Reinforcement Learning', 'Transfer Learning', 'Recommendation Systems']","['Hadoop', 'Spark']",['Not mentioned'],"['Develop state-of-the-art applied machine learning projects', 'Own key targeting components or strategies in the TikTok ads monetization ecosystem', 'Build scalable platforms and pipelines for ads targeting products', 'Work with product and business teams on the product vision']","['Advertising', 'Social Media']"
Mid-Level,False,Not mentioned,['Not mentioned'],['Natural Language Processing'],['Not mentioned'],['Not mentioned'],"['Build and own new product features end-to-end', 'Work with LLMs to tackle product engineering challenges', 'Contribute to engineering and product roadmap', 'Help with data onboarding and POC for new customers']",['Software and Cloud']
Early Career,False,"Student or recent grad in Computer Science, Data Science, or related field","['Python', 'SQL', 'Java']","['Natural Language Processing', 'Computer Vision', 'Optimization']","['Pandas', 'PyTorch', 'Open-source GPT', 'NVIDIA GPU stack', 'Linux (Ubuntu)']",['Not mentioned'],"['Design, implement, and deploy machine learning models using open-source frameworks.', 'Work on system architecture design and model tuning.', 'Maintain and optimize private AI infrastructure (on-prem AI server).', 'Prototype and test AI imaging + chat applications tailored for an oil & gas use case.']","['Software and Cloud', 'Energy']"
Senior,False,Not mentioned,"['Python', 'SQL']","['Deep Learning', 'Predictive Modeling', 'MLOps']","['PyTorch', 'TensorFlow', 'Not mentioned']",['Not mentioned'],"['Architect and implement scalable ML systems for modeling compensation', 'Collaborate with product and engineering teams to identify ML-driven solutions', 'Help evolve the technical direction of ML initiatives across the company']",['Software and Cloud']
Mid-Level,False,"Bachelor's degree and at least 4 years of experience in machine learning, software engineering, or data engineering","['Python', 'C', 'C++', 'Spark', 'Scala', 'Java', 'SQL']","['Supervised Learning', 'Deep Learning', 'MLOps']","['ELK stack', 'Splunk', 'Kubeflow', 'Seldon', 'Azure DevOps', 'Tekton', 'GitHub Actions', 'Terraform', 'Airflow', 'Prefect', 'Databricks', 'MLFlow', 'Kubernetes']","['AWS', 'Azure', 'GCP']","['Develops software that processes, stores and serves data and machine learning models for use by others.', 'Develops large scale data structures and pipelines to organize, collect and standardize data that helps generate insights and intelligence to support business needs.', 'Collaborates with AI/ML scientists and data scientists to prepare data for model development, and to deploy models to production.', 'Ensures that optimal data pipelines are scalable, repeatable and secure.']","['Retail', 'Healthcare']"
